Table 2.												
        List of biomarkers with relative frequency over 75% and over 90% (bold font). Group means and standard error (SEMs) of the corresponding NFI values are shown (BPD: bipolar disorder<comma> MDD: major depressive disorder<comma> SCZ: schizophrenia<comma> C: control). Significant group effects (p-values) on the biomarker proteins were identified at a Bonferroni-corrected level of significance by univariate F-tests in a multivariate analysis of covariance (MANCOVA) with age and sex as covariates. Pairs of groups with significant differences were identified by Bonferroni Post-Hoc tests.												
					BPD (group 1)		MDD (group 2)		SCZ (group 3)		Controls (group 4)	
Protein name	Gene code	Swiss-Prot ID	Significant differences between groups	Group effects: p-values	Mean (NFI<comma> n: 27)	SEM	Mean (NFI<comma> n: 36)	SEM	Mean (NFI<comma> n: 35)	SEM	Mean (NFI<comma> n: 35)	SEM
Neuronal growth regulator 1	NEGR1	Q7Z3B1	"1 vs 4, 2vs 4"	<0.0001	3.5	0.26	3.66	0.15	3.36	0.16	2.72	0.24
Synaptojanin-1	SYNJ1	O43426	3 vs 4	<0.0001	4.54	0.37	5.29	0.28	5.66	0.29	4.13	0.25
Spectrin beta chain<comma> brain 1	SPTBN1	Q01082	1 vs 42 vs 43 vs 4	<0.0001	14.36	1.13	16.62	0.82	16.93	0.86	7.89	0.99
Oligodendrocyte myelin glycoprotein	OMG	P23515	1 vs 42 vs 43 vs 4	<0.0001	7.14	0.47	8.84	0.41	9.35	0.47	17.19	1.25
Neuroendocrine protein 7B2	SCG5	P05408	1 vs 42 vs 43 vs 4	<0.0001	5.66	0.4	6.32	0.27	6.06	0.31	3.71	0.36
Receptor-type tyrosine-protein phosphatase zeta	PTPRZ1	P23471	1 vs 4	<0.0001	6.42	0.49	7.33	0.32	7.31	0.36	9.15	0.44
Vacuolar ATP synthase subunit d 1	ATP6V0D1	P61421	1 vs 4	0.0001	4.4	0.38	5.04	0.31	6.07	0.36	6.75	0.38
Guanine nucleotide-binding protein G(i)<comma> alpha-2 subunit	GNAI2	P04899	2 vs 4	<0.0001	1.85	0.14	1.97	0.08	1.77	0.08	1.48	0.1
Ganglioside GM2 activator	GM2A	P17900	1 vs 3	0.0001	7.28	0.48	7.08	0.36	5.3	0.23	7.64	0.68
F-actin-capping protein subunit alpha-2	CAPZA2	P47755	2 vs 41 vs 4	<0.0001	3.48	0.28	3.83	0.21	4.25	0.23	5.5	0.28
Cartilage acidic protein 1	CRTAC1	Q9NQ79	1 vs 42 vs 43 vs 4	<0.0001	5.38	0.36	5.21	0.22	4.96	0.26	13.22	1.25
Proteasome subunit alpha type-2	PSMA2	P25787	3 vs 4	<0.0001	8.56	0.69	8.49	0.35	7.89	0.4	10.81	0.54
Neural proliferation differentiation and control protein 1	NPDC1	Q9NQX5	1 vs 42 vs 43 vs 4	<0.0001	6.02	0.48	6.08	0.24	5.97	0.3	9.29	0.54
Gamma-soluble NSF attachment protein	NAPG	Q99747	1 vs 42 vs 43 vs 4	<0.0001	6.28	0.5	6.84	0.28	6.66	0.32	9.83	0.48
Syntaxin-binding protein 1	STXBP1	P61764	2 vs 4	<0.0001	6.46	0.44	6.35	0.24	5.83	0.26	5.04	0.36
Beta-Ala-His dipeptidase	CNDP1	Q96KN2	1 vs 42 vs 43 vs 4	<0.0001	5.03	0.61	5.1	0.63	2.84	0.24	10.83	0.89
Cell adhesion molecule 2	CADM2	Q8N3J6	1 vs 42 vs 43 vs 4	<0.0001	9.19	0.7	10.43	0.47	10.31	0.51	5.86	0.63
Plasma membrane calcium-transporting ATPase 1	ATP2B1	P20020	2 vs 43 vs 4	<0.0001	2.5	0.24	2.73	0.15	3.1	0.18	1.83	0.15
Seizure related 6 homolog	SEZ6	Q53EL9	1 vs 42 vs 43 vs 4	<0.0001	10.32	0.71	11.17	0.46	12.29	0.55	5.97	0.68
Membrane protein FAM159B	FAM159B	A6NKW6	2 vs 43 vs 4	<0.0001	18.53	1.36	19.02	0.78	19.02	0.86	14.37	0.96
Dickkopf-related protein 3 precursor	DKK3	Q9UBP4	1 vs 33 vs 4	<0.0001	7.26	0.97	5.65	0.38	3.74	0.17	9.49	1.56
Glutathione peroxidase 3	GPX3	P22352	1 vs 42 vs 43 vs 4	<0.0001	6.28	0.47	6.38	0.24	5.69	0.25	4.31	0.35
Chromogranin A	CHGA	P10645	1 vs 42 vs 43 vs 4	<0.0001	0.87	0.07	0.73	0.05	0.52	0.03	0.98	0.1
Fibronectin	FN1	P02751	1 vs 3	0.0018	19.46	1.64	17.12	1.21	13.12	0.77	18.44	1.74
